,Tarih,USD,EUR,GBP
136,12-07-2005,1.3361,1.604,2.3289
137,13-07-2005,1.3315,1.6212,2.3526
138,14-07-2005,1.3255,1.6151,2.3411
139,15-07-2005,1.3284,1.6047,2.3377
140,18-07-2005,1.3223,1.6006,2.3271
141,19-07-2005,1.327,1.6014,2.3189
142,20-07-2005,1.3277,1.5915,2.3106
143,21-07-2005,1.3255,1.6008,2.3028
144,22-07-2005,1.3201,1.6076,2.3093
145,25-07-2005,1.3201,1.6061,2.3121
146,26-07-2005,1.3322,1.6068,2.3144
147,27-07-2005,1.341,1.6108,2.3314
148,28-07-2005,1.3366,1.6028,2.3203
149,29-07-2005,1.3307,1.606,2.3219
150,01-08-2005,1.3212,1.5988,2.317
151,02-08-2005,1.3152,1.6068,2.3227
152,03-08-2005,1.3181,1.6105,2.3351
153,04-08-2005,1.3127,1.6123,2.3331
154,05-08-2005,1.3089,1.6128,2.3236
155,08-08-2005,1.3079,1.6187,2.3258
156,09-08-2005,1.3125,1.6242,2.3425
157,10-08-2005,1.3176,1.6303,2.3508
158,11-08-2005,1.3128,1.627,2.3528
159,12-08-2005,1.3186,1.6371,2.3764
160,15-08-2005,1.337,1.6676,2.4261
161,16-08-2005,1.3486,1.6706,2.4424
162,17-08-2005,1.3404,1.6537,2.4256
163,18-08-2005,1.3586,1.67,2.4547
164,19-08-2005,1.3606,1.6653,2.4543
165,22-08-2005,1.3676,1.6639,2.4527
166,23-08-2005,1.3612,1.6602,2.4481
167,24-08-2005,1.3531,1.6555,2.4321
168,25-08-2005,1.3649,1.6654,2.4479
169,26-08-2005,1.3645,1.6781,2.46
170,29-08-2005,1.353,1.6665,2.4422
171,30-08-2005,,,
172,31-08-2005,1.3508,1.6627,2.4364
173,01-09-2005,1.3473,1.6445,2.4035
174,02-09-2005,1.3344,1.6514,2.4132
175,05-09-2005,1.3325,1.6728,2.4484
176,06-09-2005,1.329,1.6674,2.4552
177,07-09-2005,1.3273,1.6553,2.4439
178,08-09-2005,1.3262,1.6558,2.4416
179,09-09-2005,1.3293,1.6515,2.4418
180,12-09-2005,1.3255,1.6451,2.4328
181,13-09-2005,1.3305,1.6389,2.4305
182,14-09-2005,1.3292,1.6326,2.4205
183,15-09-2005,1.3348,1.6403,2.4349
184,16-09-2005,1.3345,1.6311,2.4151
185,19-09-2005,1.333,1.6347,2.4131
186,20-09-2005,1.3393,1.6255,2.4124
187,21-09-2005,1.334,1.6217,2.4066
188,22-09-2005,1.3346,1.6301,2.4131
189,23-09-2005,1.3311,1.6268,2.4012
190,26-09-2005,1.336,1.6195,2.385
191,27-09-2005,1.3423,1.6171,2.3801
192,28-09-2005,1.3376,1.6081,2.3629
193,29-09-2005,1.3436,1.6156,2.3734
194,30-09-2005,1.3406,1.6161,2.3662
195,03-10-2005,1.3422,1.6154,2.3648
196,04-10-2005,1.3558,1.6184,2.3784
197,05-10-2005,1.3368,1.5943,2.3481
198,06-10-2005,1.3445,1.6072,2.3704
199,07-10-2005,1.3513,1.6296,2.39
200,10-10-2005,1.3463,1.6364,2.381
201,11-10-2005,1.3368,1.6211,2.3513
202,12-10-2005,1.3412,1.6133,2.347
203,13-10-2005,1.3479,1.6168,2.3533
204,14-10-2005,1.3613,1.6307,2.3781
205,17-10-2005,1.3644,1.6381,2.3896
206,18-10-2005,1.3546,1.6325,2.3848
207,19-10-2005,1.356,1.6218,2.3676
208,20-10-2005,1.3649,1.6291,2.3923
209,21-10-2005,1.3592,1.6265,2.3994
210,24-10-2005,1.3573,1.6326,2.4095
211,25-10-2005,1.3574,1.6211,2.3985
212,26-10-2005,1.3548,1.6274,2.4036
213,27-10-2005,1.3479,1.6274,2.3941
214,28-10-2005,1.3473,1.6345,2.4046
215,31-10-2005,1.3473,1.6345,2.4046
216,01-11-2005,1.3417,1.6175,2.3855
217,02-11-2005,1.3433,1.6129,2.3765
218,03-11-2005,,,
219,04-11-2005,,,
220,07-11-2005,1.3433,1.6129,2.3765
221,08-11-2005,1.3554,1.6014,2.3668
222,09-11-2005,1.3584,1.594,2.3568
223,10-11-2005,1.3546,1.5928,2.3566
224,11-11-2005,1.3579,1.5989,2.372
225,14-11-2005,1.3577,1.5884,2.3614
226,15-11-2005,1.3552,1.5904,2.3628
227,16-11-2005,1.3565,1.5844,2.352
228,17-11-2005,1.352,1.582,2.3372
229,18-11-2005,1.3526,1.5804,2.3246
230,21-11-2005,1.3644,1.5939,2.3352
231,22-11-2005,1.3588,1.6059,2.3366
232,23-11-2005,1.3611,1.5937,2.3298
233,24-11-2005,1.353,1.596,2.3287
234,25-11-2005,1.3519,1.5951,2.3308
235,28-11-2005,1.351,1.5884,2.3227
236,29-11-2005,1.3552,1.5863,2.3152
237,30-11-2005,1.3497,1.5947,2.3272
238,01-12-2005,1.35,1.59,2.3271
239,02-12-2005,1.3505,1.5898,2.3357
240,05-12-2005,1.3527,1.5838,2.3366
241,06-12-2005,1.3515,1.5847,2.342
242,07-12-2005,1.3486,1.5886,2.3415
243,08-12-2005,1.3497,1.5834,2.3382
244,09-12-2005,1.351,1.5903,2.3546
245,12-12-2005,1.3497,1.5918,2.3615
246,13-12-2005,1.3473,1.6022,2.3768
247,14-12-2005,1.342,1.6001,2.3738
248,15-12-2005,1.337,1.6079,2.3709
249,16-12-2005,1.341,1.611,2.3756
250,19-12-2005,1.3439,1.6123,2.3775
251,20-12-2005,1.3424,1.6118,2.3689
252,21-12-2005,1.3428,1.6079,2.3682
253,22-12-2005,1.3448,1.5976,2.3552
254,23-12-2005,1.3463,1.5919,2.3388
255,26-12-2005,1.3435,1.5943,2.3325
256,27-12-2005,1.3424,1.5922,2.3273
257,28-12-2005,1.3433,1.5929,2.33
258,29-12-2005,1.3422,1.5994,2.3306
259,30-12-2005,1.343,1.5904,2.3092
260,02-01-2006,1.3418,1.5875,2.3121
261,03-01-2006,1.3441,1.592,2.3159
262,04-01-2006,1.3419,1.5943,2.3198
263,05-01-2006,1.3317,1.607,2.3362
264,06-01-2006,1.3298,1.6079,2.3304
265,09-01-2006,1.3284,1.6073,2.3306
266,10-01-2006,,,
267,11-01-2006,,,
268,12-01-2006,,,
269,13-01-2006,,,
270,16-01-2006,1.3284,1.6073,2.3306
271,17-01-2006,1.327,1.6107,2.3489
272,18-01-2006,1.3277,1.6063,2.3405
273,19-01-2006,1.3313,1.6142,2.3514
274,20-01-2006,1.3299,1.6066,2.3346
275,23-01-2006,1.3301,1.6059,2.339
276,24-01-2006,1.3208,1.6199,2.3525
277,25-01-2006,1.3171,1.6172,2.3488
278,26-01-2006,1.3156,1.6176,2.3527
279,27-01-2006,1.317,1.613,2.3512
280,30-01-2006,1.3183,1.6085,2.3453
281,31-01-2006,1.3219,1.5972,2.3325
282,01-02-2006,1.3199,1.5983,2.3381
283,02-02-2006,1.3177,1.5964,2.3413
284,03-02-2006,1.3213,1.594,2.3448
285,06-02-2006,1.3193,1.5923,2.3428
286,07-02-2006,1.3232,1.5861,2.32
287,08-02-2006,1.3229,1.586,2.3114
288,09-02-2006,1.3281,1.5894,2.3134
289,10-02-2006,1.324,1.5861,2.3044
290,13-02-2006,1.3208,1.5815,2.3059
291,14-02-2006,1.3242,1.5745,2.3023
292,15-02-2006,1.3211,1.5733,2.2955
293,16-02-2006,1.3322,1.5868,2.3141
294,17-02-2006,1.3246,1.5724,2.2972
295,20-02-2006,1.3202,1.5681,2.291
296,21-02-2006,1.3093,1.5636,2.2809
297,22-02-2006,1.3114,1.5623,2.2865
298,23-02-2006,1.3245,1.5746,2.3055
299,24-02-2006,1.3127,1.5673,2.2974
300,27-02-2006,1.3145,1.5641,2.2982
301,28-02-2006,1.3113,1.5541,2.2807
302,01-03-2006,1.306,1.551,2.2778
303,02-03-2006,1.3075,1.5613,2.2939
304,03-03-2006,1.2979,1.5495,2.2682
305,06-03-2006,1.2964,1.5586,2.2732
306,07-03-2006,1.3006,1.5658,2.2829
307,08-03-2006,1.3225,1.5764,2.2978
308,09-03-2006,1.3358,1.5922,2.3217
309,10-03-2006,1.3362,1.5946,2.3225
310,13-03-2006,1.344,1.6018,2.3336
311,14-03-2006,1.3377,1.5966,2.3089
312,15-03-2006,1.3432,1.607,2.3309
313,16-03-2006,1.3289,1.5985,2.3184
314,17-03-2006,1.3264,1.6017,2.3174
315,20-03-2006,1.3161,1.6023,2.3088
316,21-03-2006,1.3269,1.6163,2.3295
317,22-03-2006,1.335,1.6207,2.3334
318,23-03-2006,1.3426,1.6219,2.3454
319,24-03-2006,1.3323,1.6072,2.3214
320,27-03-2006,1.3408,1.605,2.3224
321,28-03-2006,1.3386,1.6105,2.3374
322,29-03-2006,1.3464,1.6237,2.3531
323,30-03-2006,1.3562,1.6284,2.3548
324,31-03-2006,1.3427,1.6211,2.3342
325,03-04-2006,1.3417,1.6254,2.3314
326,04-04-2006,1.3389,1.6141,2.3119
327,05-04-2006,1.3319,1.6216,2.3245
328,06-04-2006,1.33,1.6313,2.333
329,07-04-2006,1.3308,1.6378,2.3365
330,10-04-2006,1.3295,1.6211,2.3262
331,11-04-2006,1.337,1.6196,2.332
332,12-04-2006,1.3331,1.6155,2.3224
333,13-04-2006,1.336,1.6221,2.3421
334,14-04-2006,1.3409,1.6242,2.3502
335,17-04-2006,1.344,1.6271,2.3535
336,18-04-2006,1.3424,1.6371,2.3624
337,19-04-2006,1.3366,1.6379,2.3669
338,20-04-2006,1.3239,1.6349,2.362
339,21-04-2006,1.3233,1.6333,2.3607
340,24-04-2006,1.3224,1.6289,2.3531
341,25-04-2006,1.3181,1.6316,2.3579
342,26-04-2006,1.3168,1.6326,2.3516
343,27-04-2006,1.3216,1.6403,2.3565
344,28-04-2006,1.3195,1.641,2.354
345,01-05-2006,1.3155,1.6506,2.3749
346,02-05-2006,1.3131,1.6572,2.3958
347,03-05-2006,1.3157,1.6606,2.4108
348,04-05-2006,1.3104,1.6553,2.4089
349,05-05-2006,1.3178,1.6602,2.4241
350,08-05-2006,1.3132,1.6658,2.4276
351,09-05-2006,1.3124,1.6754,2.4462
352,10-05-2006,1.3321,1.6902,2.4708
353,11-05-2006,1.3431,1.7174,2.5042
354,12-05-2006,1.3545,1.7228,2.5215
355,15-05-2006,1.3909,1.7945,2.6321
356,16-05-2006,1.4498,1.8615,2.7321
357,17-05-2006,1.4484,1.8553,2.7228
358,18-05-2006,1.4185,1.8291,2.6894
359,19-05-2006,,,
360,22-05-2006,1.4878,1.9017,2.8061
361,23-05-2006,1.5055,1.9207,2.8197
362,24-05-2006,1.5173,1.9483,2.8561
363,25-05-2006,1.5368,1.9754,2.8926
364,26-05-2006,1.5396,1.9663,2.878
365,29-05-2006,1.5229,1.9503,2.8481
366,30-05-2006,1.5227,1.9427,2.8341
367,31-05-2006,1.5368,1.9748,2.8814
368,01-06-2006,1.56,2.008,2.93
369,02-06-2006,1.5607,1.9917,2.9068
370,05-06-2006,1.5271,1.9583,2.8494
371,06-06-2006,1.5765,2.0434,2.9701
372,07-06-2006,1.5559,2.0046,2.9091
373,08-06-2006,1.548,1.9825,2.8787
374,09-06-2006,1.5463,1.9721,2.8551
375,12-06-2006,1.5371,1.9445,2.8309
376,13-06-2006,1.539,1.9401,2.8354
377,14-06-2006,1.6005,2.0134,2.9463
378,15-06-2006,1.5897,2.0004,2.927
379,16-06-2006,1.5844,1.9992,2.9253
380,19-06-2006,1.5833,2.0039,2.9328
381,20-06-2006,1.5942,2.0069,2.9401
382,21-06-2006,1.6088,2.0216,2.9615
383,22-06-2006,1.6414,2.0726,3.024
384,23-06-2006,1.6607,2.0955,3.0487
385,26-06-2006,1.6934,2.1246,3.0864
386,27-06-2006,1.6836,2.1158,3.0659
387,28-06-2006,1.6375,2.0603,2.9815
388,29-06-2006,1.6118,2.0251,2.9312
389,30-06-2006,1.6029,2.0095,2.9066
390,03-07-2006,1.5697,1.9963,2.8786
391,04-07-2006,1.5679,2.0043,2.8904
392,05-07-2006,1.535,1.9655,2.8312
393,06-07-2006,1.5699,2.0043,2.8935
394,07-07-2006,1.5878,2.0222,2.9125
395,10-07-2006,1.5475,1.9797,2.8477
396,11-07-2006,1.551,1.982,2.862
397,12-07-2006,1.5379,1.9593,2.8292
398,13-07-2006,1.5436,1.9659,2.8433
399,14-07-2006,1.5778,2.005,2.9018
400,17-07-2006,1.5748,1.9956,2.8978
401,18-07-2006,1.5841,1.9896,2.8882
402,19-07-2006,1.5751,1.9739,2.8756
403,20-07-2006,1.5681,1.9593,2.8643
404,21-07-2006,1.5456,1.9501,2.8546
405,24-07-2006,1.5434,1.9558,2.8631
406,25-07-2006,1.5459,1.9519,2.8622
407,26-07-2006,1.5296,1.9341,2.8294
408,27-07-2006,1.5169,1.9093,2.7908
409,28-07-2006,1.4994,1.9095,2.7887
410,31-07-2006,1.4954,1.8971,2.7787
411,01-08-2006,1.4811,1.8897,2.7609
412,02-08-2006,1.4958,1.9073,2.7907
413,03-08-2006,1.4994,1.9198,2.8106
414,04-08-2006,1.4879,1.9002,2.7929
415,07-08-2006,1.4827,1.8968,2.803
416,08-08-2006,1.4593,1.8771,2.7831
417,09-08-2006,1.4581,1.8725,2.7775
418,10-08-2006,1.4478,1.8638,2.7615
419,11-08-2006,1.4446,1.8579,2.7481
420,14-08-2006,1.4414,1.842,2.7313
421,15-08-2006,1.4529,1.8494,2.742
422,16-08-2006,1.4657,1.866,2.7678
423,17-08-2006,1.4452,1.848,2.7324
424,18-08-2006,1.4313,1.8422,2.7136
425,21-08-2006,1.4365,1.8414,2.7034
426,22-08-2006,1.4483,1.8678,2.7425
427,23-08-2006,1.4477,1.8603,2.7378
428,24-08-2006,1.4505,1.8594,2.7431
429,25-08-2006,1.4729,1.8878,2.7866
430,28-08-2006,1.4729,1.8804,2.779
431,29-08-2006,1.478,1.893,2.7995
432,30-08-2006,,,
433,31-08-2006,1.4682,1.8819,2.7891
434,01-09-2006,1.4478,1.8609,2.7596
435,04-09-2006,1.4608,1.8713,2.7792
436,05-09-2006,1.4507,1.8653,2.763
437,06-09-2006,1.442,1.8502,2.7375
438,07-09-2006,1.4521,1.8601,2.7402
439,08-09-2006,1.4722,1.8811,2.7675
440,11-09-2006,1.4708,1.8699,2.7509
441,12-09-2006,1.4762,1.8764,2.7536
442,13-09-2006,1.4699,1.869,2.751
443,14-09-2006,1.4622,1.8548,2.7389
444,15-09-2006,1.4702,1.8679,2.7671
445,18-09-2006,1.4667,1.8624,2.7615
446,19-09-2006,1.455,1.8427,2.7319
447,20-09-2006,1.4618,1.8526,2.7486
448,21-09-2006,1.4648,1.8568,2.757
449,22-09-2006,1.4687,1.8693,2.7835
450,25-09-2006,1.5252,1.9554,2.9033
451,26-09-2006,1.502,1.9193,2.8574
452,27-09-2006,1.5168,1.9284,2.8755
453,28-09-2006,1.4872,1.8876,2.8112
454,29-09-2006,1.4919,1.8971,2.8027
455,02-10-2006,1.4971,1.8964,2.7965
456,03-10-2006,1.5069,1.9117,2.8203
457,04-10-2006,1.4936,1.9033,2.8194
458,05-10-2006,1.5085,1.9148,2.8382
459,06-10-2006,1.4895,1.8937,2.8054
460,09-10-2006,1.4853,1.8829,2.7862
461,10-10-2006,1.4952,1.8842,2.7905
